1000 17
11000 153
21000 306
31000 446
41000 592
51000 746
61000 901
71000 1058
81000 1205
91000 1385
101000 1519
111000 1650
121000 1789
131000 1978
141000 2088
151000 2308
161000 2568
171000 2897
181000 2817
191000 3025
201000 3227
211000 3366
221000 3526
231000 3748
241000 3829
251000 3915
261000 4120
271000 4381
281000 4469
291000 4579
301000 4996
311000 4974
321000 5259
331000 5644
341000 5664
351000 5604
361000 6229
371000 6031
381000 6194
391000 6444
401000 6556
411000 6740
421000 6954
431000 6956
441000 7287
451000 7316
461000 7612
471000 7634
481000 8137
491000 7936
501000 8495
511000 8433
521000 8823
531000 8680
541000 9148
551000 9284
561000 9698
571000 9819
581000 9749
591000 10606
601000 10180
611000 10458
621000 11061
631000 10646
641000 11020
651000 11291
661000 11202
671000 11879
681000 11711
691000 11956
701000 12066
711000 12937
721000 12525
731000 12465
741000 12688
751000 13551
761000 14720
771000 13875
781000 14416
791000 13526
801000 14570
811000 14703
821000 14749
831000 16033
841000 14882
851000 15952
861000 14925
871000 15756
881000 15459
891000 15515
