1000 102
11000 1785
21000 3739
31000 5499
41000 9197
51000 9664
61000 11936
71000 14401
81000 16659
91000 18723
101000 21245
111000 23894
121000 25602
131000 31101
141000 30640
151000 33604
161000 37269
171000 39716
181000 42455
191000 44183
201000 45909
211000 50242
221000 52591
231000 56813
241000 59257
251000 60114
261000 66156
271000 65568
281000 67311
291000 71805
301000 74145
311000 77663
321000 80119
331000 85983
341000 89041
351000 88248
361000 97187
371000 93660
381000 97631
391000 105850
401000 104584
411000 104777
421000 108213
431000 108955
441000 118532
451000 121255
461000 122126
471000 123260
481000 130649
491000 135592
501000 130964
511000 138131
521000 143553
531000 142762
541000 155963
551000 145264
561000 154897
571000 152921
581000 158163
591000 172828
601000 163816
611000 165861
621000 169711
631000 173903
641000 176604
651000 180294
661000 184361
671000 182116
681000 191184
691000 193378
701000 190446
711000 189275
721000 285467
731000 210484
741000 201471
751000 209070
761000 208339
771000 217789
781000 223194
791000 224640
801000 225108
811000 224912
821000 231539
831000 229230
841000 227070
851000 245336
861000 233478
871000 235875
881000 245279
891000 247601
