100 22
1100 2565
2100 10230
3100 21931
4100 38488
5100 58899
6100 85023
7100 117206
8100 147174
9100 124457
10100 158064
11100 196905
12100 239765
13100 288199
14100 341996
15100 400135
16100 465598
17100 534525
18100 619274
19100 704595
20100 789663
21100 872805
22100 957091
23100 1066611
24100 1170030
25100 1268389
26100 1367578
27100 1476230
28100 1594576
29100 1733158
