1000 147
11000 2108
21000 4425
31000 6903
41000 9050
51000 11711
61000 14159
71000 16587
81000 19321
91000 21681
101000 24305
111000 26427
121000 29520
131000 32264
141000 34674
151000 37899
161000 40212
171000 42948
181000 45606
191000 49081
201000 52263
211000 54263
221000 57151
231000 60831
241000 62929
251000 65516
261000 68552
271000 72836
281000 75178
291000 76707
301000 79986
311000 75671
321000 69194
331000 71975
341000 72914
351000 76777
361000 80856
371000 79699
381000 81737
391000 85174
401000 87669
411000 90199
421000 91365
431000 94658
441000 95718
451000 99376
461000 102105
471000 105836
481000 104994
491000 109197
501000 112604
511000 113733
521000 117909
531000 119054
541000 122040
551000 122801
561000 124771
571000 126309
581000 131406
591000 130867
601000 134965
611000 137440
621000 138681
631000 140474
641000 143333
651000 144481
661000 146328
671000 149003
681000 150387
691000 152733
701000 153075
711000 156145
721000 160257
731000 164491
741000 165385
751000 167009
761000 169827
771000 173743
781000 175730
791000 178987
801000 179596
811000 181241
821000 180410
831000 189319
841000 197777
851000 195703
861000 193133
871000 194349
881000 194389
891000 202315
