1000 84
11000 1079
21000 2109
31000 3219
41000 4377
51000 5479
61000 6621
71000 7868
81000 9287
91000 10385
101000 11427
111000 12644
121000 13856
131000 15062
141000 16345
151000 17640
161000 18850
171000 20605
181000 21423
191000 22661
201000 23911
211000 25214
221000 26448
231000 27752
241000 29124
251000 30409
261000 31593
271000 33781
281000 35125
291000 36360
301000 37666
311000 38941
321000 40267
331000 41684
341000 44492
351000 44485
361000 45695
371000 47039
381000 48495
391000 49670
401000 51138
411000 52504
421000 53742
431000 54601
441000 56491
451000 57766
461000 59028
471000 60707
481000 62554
491000 64011
501000 65078
511000 66344
521000 68122
531000 69207
541000 70482
551000 71945
561000 73602
571000 74869
581000 76034
591000 77074
601000 78704
611000 80420
621000 82058
631000 83449
641000 84411
651000 85541
661000 87156
671000 88664
681000 90206
691000 91671
701000 93073
711000 94251
721000 95864
731000 97442
741000 98633
751000 100193
761000 101340
771000 102485
781000 103957
791000 105658
801000 107360
811000 108391
821000 110220
831000 110597
841000 112454
851000 112789
861000 114317
871000 115304
881000 117210
891000 118827
